,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강원도 고성군 / 속초시, 옥계산불 ver1_1",,,,,,,,,,,,,,,
1045,1,1.0,5.5,9.0,91.72,134.35,14.11,16.7,14.16,0.0,,16.0,9.0,1.0,0.0,0.0
1046,2,2.0,1.9,9.0,93.29,146.04,35.11,16.7,14.16,0.0,,23.0,20.0,1.0,0.0,0.0
1047,2,2.0,1.9,7.0,93.54,158.91,51.84,16.7,14.15,0.0,,26.0,20.0,1.0,0.0,0.0
1048,1,1.0,5.5,8.0,89.85,128.0,8.87,16.7,14.16,0.0,,26.0,20.0,1.0,0.0,0.0
1049,1,1.0,5.5,8.0,90.49,130.97,30.89,16.7,14.16,0.0,,25.0,15.0,1.0,0.0,0.0
1050,1,1.0,1.9,9.0,93.52,145.54,33.7,16.7,14.15,0.0,,25.0,21.0,1.0,0.0,0.0
1051,1,1.0,1.9,9.0,93.41,140.6,35.87,16.71,14.15,0.0,,26.0,21.0,1.0,0.0,0.0
1052,1,1.0,5.5,9.0,90.47,126.5,19.44,16.71,14.15,0.0,,26.0,16.0,0.0,0.0,0.0
1053,1,1.0,1.9,6.0,96.69,172.53,31.1,16.71,14.14,0.0,,17.0,12.0,0.0,0.0,0.0
1054,1,1.0,1.9,7.0,96.54,173.27,36.69,16.7,14.14,0.0,,25.0,12.0,1.0,0.0,0.0
1055,1,1.0,1.9,8.0,94.98,162.58,33.18,16.71,14.14,0.0,,24.0,12.0,1.0,0.0,0.0
1056,1,1.0,1.9,8.0,96.09,164.6,33.7,16.71,14.13,0.0,,28.0,18.0,1.0,0.0,0.0
1057,1,1.0,1.9,7.0,96.81,166.76,63.68,16.72,14.13,0.0,,26.0,21.0,1.0,0.0,0.0
1058,1,1.0,1.9,9.0,93.82,141.27,63.07,16.72,14.14,0.0,,23.0,14.0,1.0,0.0,0.0
1059,1,1.0,1.9,9.0,94.05,138.69,40.32,16.73,14.13,0.0,,23.0,12.0,1.0,0.0,0.0
1060,0,0.0,0.0,9.0,91.54,119.57,47.92,16.72,14.14,0.0,,23.0,14.0,1.0,0.0,0.0
1061,1,1.0,1.9,8.0,94.34,142.75,13.25,16.73,14.13,0.0,,26.0,19.0,0.0,0.0,0.0
1062,0,0.0,0.0,6.0,96.94,181.38,32.66,16.73,14.11,0.0,,17.0,13.0,0.0,0.0,0.0
1063,0,0.0,0.0,6.0,97.04,176.59,42.16,16.74,14.1,0.0,,20.0,13.0,1.0,0.0,0.0
1064,3,3.0,1.9,8.0,94.8,144.02,46.01,16.74,14.12,0.0,,28.0,18.0,1.0,0.0,0.0
