,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,담 유무,산림방향 담 유무,최대 경사도,최소 경사도,주건물 지붕특성,비산거리,불난 후 상태
0,"강릉시 안현동",,,,,,,,,,,,,,,
54,4,5.0,3.1,3.0,0.0,186.34,40.78,1.84,1.95,0.0,0.0,15.0,0.0,1.0,0.0,0.0
55,3,5.0,3.1,6.0,0.0,167.85,49.77,1.83,1.93,0.0,0.0,11.0,0.0,1.0,0.0,0.0
56,1,1.0,6.7,10.0,0.0,145.33,147.0,1.8,1.91,0.0,0.0,10.0,5.0,1.0,0.0,0.0
57,4,5.0,3.1,4.0,0.0,178.06,21.31,1.84,1.94,0.0,0.0,11.0,8.0,1.0,0.0,0.0
58,3,4.0,3.1,9.0,0.0,154.01,24.15,1.81,1.91,0.0,0.0,11.0,6.0,1.0,0.0,0.0
59,4,5.0,3.1,8.0,0.0,156.58,58.62,1.81,1.92,0.0,0.0,11.0,0.0,1.0,0.0,0.0
60,1,1.0,9.9,11.0,0.0,129.23,77.11,1.79,1.89,0.0,0.0,8.0,0.0,1.0,0.0,0.0
61,3,5.0,3.1,5.0,0.0,169.05,15.18,1.83,1.93,0.0,0.0,10.0,2.0,1.0,0.0,0.0
62,4,5.0,3.1,8.0,0.0,156.58,58.62,1.81,1.92,0.0,0.0,11.0,0.0,0.0,0.0,0.0
63,4,5.0,3.1,8.0,0.0,148.33,39.51,1.81,1.91,0.0,0.0,9.0,0.0,1.0,0.0,0.0
64,3,3.0,6.7,11.0,0.0,135.25,73.58,1.79,1.89,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,4,4.0,3.1,8.0,0.0,150.18,50.69,1.81,1.91,0.0,0.0,10.0,0.0,1.0,0.0,0.0
66,3,2.0,3.1,8.0,0.0,151.23,48.44,1.81,1.91,0.0,0.0,10.0,1.0,1.0,0.0,0.0
67,1,1.0,9.9,11.0,0.0,130.57,59.73,1.79,1.89,0.0,0.0,4.0,0.0,1.0,0.0,0.0
68,1,1.0,9.9,10.0,0.0,136.99,22.44,1.79,1.89,0.0,0.0,10.0,0.0,1.0,0.0,0.0
69,0,0.0,0.0,1.0,0.0,115.81,73.58,1.69,1.99,0.0,0.0,23.0,13.0,0.0,0.0,0.0
70,0,0.0,0.0,1.0,0.0,111.73,13.78,1.69,1.99,0.0,0.0,23.0,6.0,1.0,0.0,0.0
71,1,1.0,4.1,2.0,0.1,104.24,12.44,1.67,1.98,0.0,0.0,18.0,13.0,1.0,0.0,0.0
72,1,2.0,1.7,2.0,8.82,67.19,73.44,1.66,1.94,0.0,0.0,17.0,0.0,1.0,0.0,0.0
73,0,0.0,0.0,5.0,4.88,61.66,56.39,1.63,1.93,0.0,0.0,20.0,10.0,0.0,0.0,0.0
74,0,0.0,0.0,4.0,4.67,46.61,95.56,1.63,1.91,0.0,0.0,17.0,0.0,1.0,0.0,0.0
75,2,2.0,1.7,0.0,10.99,28.2,321.75,1.67,1.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0
76,2,2.0,1.7,2.0,6.69,14.29,59.67,1.65,1.89,0.0,0.0,13.0,0.0,0.0,0.0,0.0
77,2,4.0,1.6,4.0,3.36,43.37,51.78,1.59,1.88,0.0,0.0,21.0,13.0,1.0,0.0,0.0
78,0,0.0,0.0,0.0,0.86,0.06,37.38,1.54,2.11,0.0,0.0,27.0,19.0,1.0,0.0,0.0
79,0,0.0,0.0,1.0,2.46,0.0,7.26,1.52,2.08,0.0,0.0,13.0,0.0,1.0,0.0,0.0
80,0,0.0,0.0,0.0,0.66,0.06,57.89,1.47,2.25,0.0,0.0,3.0,0.0,1.0,0.0,0.0
81,0,0.0,0.0,0.0,0.57,0.06,47.17,1.49,2.22,0.0,0.0,24.0,12.0,1.0,0.0,0.0
82,0,0.0,0.0,0.0,0.5,0.09,33.57,1.46,2.2,0.0,0.0,24.0,8.0,1.0,0.0,0.0
83,0,0.0,0.0,0.0,0.53,0.09,43.56,1.45,2.18,0.0,0.0,25.0,0.0,1.0,0.0,0.0
84,0,0.0,0.0,1.0,23.06,0.06,110.07,1.08,2.53,0.0,0.0,8.0,0.0,0.0,1.0,0.0
85,0,0.0,0.0,1.0,10.44,12.14,68.54,1.14,2.48,0.0,0.0,17.0,3.0,0.0,1.0,0.0
86,1,1.0,2.6,2.0,9.61,18.97,31.44,1.15,2.47,0.0,0.0,22.0,0.0,1.0,1.0,0.0
87,0,0.0,0.0,1.0,0.0,0.06,35.68,1.4,2.05,0.0,0.0,22.0,20.0,1.0,0.0,0.0
88,1,1.0,4.1,2.0,0.0,0.0,29.95,1.37,2.02,0.0,0.0,20.0,15.0,1.0,1.0,0.0
89,2,3.0,2.7,5.0,3.86,9.23,47.0,1.32,1.99,0.0,0.0,18.0,4.0,1.0,0.0,0.0
90,2,2.0,2.7,9.0,8.56,13.76,90.84,1.29,1.96,0.0,0.0,15.0,8.0,0.0,1.0,0.0
91,0,0.0,0.0,1.0,5.47,2.03,29.76,1.33,1.65,0.0,0.0,12.0,10.0,1.0,1.0,0.0
92,1,1.0,2.3,1.0,4.62,0.09,18.65,1.35,1.64,0.0,0.0,14.0,10.0,1.0,0.0,0.0
93,2,2.0,2.3,1.0,4.57,0.0,56.91,1.34,1.63,0.0,0.0,16.0,5.0,1.0,0.0,0.0
94,2,2.0,2.3,1.0,4.58,0.09,19.48,1.34,1.63,0.0,0.0,16.0,5.0,1.0,0.0,0.0
95,1,1.0,3.1,1.0,4.91,0.0,48.73,1.34,1.64,0.0,0.0,14.0,7.0,1.0,1.0,2.0
96,1,1.0,3.1,1.0,4.97,0.06,42.34,1.31,1.63,0.0,0.0,14.0,8.0,1.0,0.0,0.0
97,1,1.0,1.5,1.0,1.6,0.06,23.53,1.29,1.56,0.0,0.0,7.0,0.0,1.0,0.0,0.0
98,1,1.0,3.4,1.0,7.98,31.25,43.55,1.45,1.56,0.0,0.0,19.0,0.0,1.0,0.0,0.0
99,1,1.0,3.4,0.0,6.59,31.25,68.56,1.47,1.57,0.0,0.0,21.0,6.0,0.0,0.0,0.0
100,1,1.0,3.4,1.0,7.03,31.25,20.79,1.46,1.56,0.0,0.0,21.0,4.0,0.0,0.0,0.0
101,1,1.0,3.4,2.0,7.17,31.25,109.08,1.43,1.54,0.0,0.0,21.0,1.0,0.0,0.0,0.0
102,0,0.0,0.0,0.0,2.9,31.25,22.81,1.46,1.57,0.0,0.0,21.0,4.0,1.0,0.0,0.0
103,0,0.0,0.0,0.0,0.52,31.25,20.74,1.46,1.57,0.0,0.0,14.0,5.0,1.0,0.0,0.0
104,0,0.0,0.0,0.0,0.1,31.25,30.96,1.47,1.57,0.0,0.0,8.0,5.0,1.0,0.0,0.0
105,0,0.0,0.0,2.0,1.38,31.25,77.41,1.44,1.54,0.0,0.0,5.0,4.0,1.0,0.0,0.0
106,0,0.0,0.0,3.0,1.44,31.25,25.17,1.41,1.52,0.0,0.0,7.0,4.0,1.0,0.0,0.0
107,0,0.0,0.0,3.0,1.34,31.25,30.64,1.4,1.51,0.0,0.0,7.0,2.0,1.0,0.0,0.0
108,1,1.0,4.4,4.0,5.84,31.25,7.11,1.38,1.48,0.0,0.0,8.0,0.0,1.0,0.0,0.0
109,0,0.0,0.0,3.0,1.34,31.25,30.64,1.4,1.51,0.0,0.0,11.0,0.0,1.0,0.0,0.0
110,2,2.0,3.9,4.0,8.19,0.09,64.84,1.44,1.55,0.0,0.0,6.0,3.0,0.0,1.0,0.0
111,3,3.0,3.8,4.0,8.64,3.96,18.65,1.42,1.53,0.0,0.0,6.0,5.0,1.0,0.0,0.0
112,2,2.0,2.6,3.0,10.24,35.14,43.96,1.46,1.56,0.0,0.0,3.0,3.0,1.0,0.0,0.0
113,4,5.0,1.7,3.0,9.18,60.79,35.68,1.47,1.57,0.0,0.0,3.0,3.0,1.0,0.0,0.0
114,4,5.0,1.7,3.0,9.43,53.89,19.63,1.47,1.57,0.0,0.0,3.0,3.0,1.0,1.0,0.0
115,3,3.0,3.8,4.0,13.58,24.22,75.6,1.44,1.55,0.0,0.0,3.0,3.0,0.0,0.0,0.0
116,3,3.0,3.8,4.0,14.34,15.33,15.16,1.43,1.54,0.0,0.0,3.0,3.0,1.0,0.0,0.0
117,3,3.0,1.7,4.0,14.02,43.91,33.78,1.45,1.55,0.0,0.0,3.0,2.0,1.0,0.0,0.0
118,2,3.0,1.7,4.0,13.4,81.72,42.68,1.47,1.58,0.0,0.0,3.0,2.0,1.0,0.0,0.0
119,2,3.0,1.7,4.0,18.72,74.47,15.55,1.46,1.56,0.0,0.0,3.0,2.0,1.0,0.0,0.0
120,3,3.0,1.7,4.0,15.86,54.51,33.26,1.45,1.55,0.0,0.0,3.0,2.0,0.0,0.0,0.0
121,3,3.0,1.7,4.0,19.43,63.73,31.8,1.44,1.54,0.0,0.0,3.0,3.0,1.0,0.0,2.0
122,1,1.0,3.8,4.0,15.04,49.11,63.39,1.41,1.51,0.0,0.0,9.0,3.0,1.0,0.0,0.0
123,2,2.0,3.2,3.0,12.46,47.9,20.16,1.4,1.5,0.0,0.0,9.0,0.0,1.0,0.0,0.0
124,1,1.0,3.8,4.0,18.28,60.19,72.58,1.41,1.52,0.0,0.0,9.0,3.0,1.0,0.0,0.0
125,1,1.0,3.2,4.0,19.4,58.03,8.77,1.41,1.52,0.0,0.0,9.0,2.0,1.0,1.0,0.0
126,0,0.0,0.0,3.0,1.34,31.25,30.64,1.4,1.51,1.0,0.0,0.0,0.0,1.0,0.0,0.0
127,2,2.0,9.3,2.0,0.0,38.82,36.63,1.34,1.42,0.0,0.0,0.0,0.0,1.0,1.0,0.0
128,2,2.0,9.3,2.0,0.0,33.76,5.14,1.34,1.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,2,2.0,9.3,2.0,0.0,38.53,28.51,1.34,1.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0
130,2,2.0,9.3,2.0,0.0,32.04,53.45,1.33,1.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,2,2.0,9.3,2.0,0.0,31.1,65.43,1.33,1.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132,2,2.0,9.3,2.0,0.0,33.29,24.21,1.32,1.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,2,2.0,9.3,2.0,0.0,29.88,30.46,1.32,1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,2,2.0,9.3,2.0,0.0,22.08,116.63,1.31,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1,1.0,10.7,2.0,0.0,24.49,116.64,1.29,1.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,2,2.0,10.5,3.0,0.0,29.24,111.15,1.28,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2,2.0,10.5,4.0,0.05,36.14,146.38,1.27,1.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,2,2.0,10.5,4.0,0.05,40.03,50.54,1.26,1.34,0.0,0.0,0.0,0.0,1.0,1.0,0.0
139,2,2.0,10.5,4.0,0.05,44.27,85.36,1.26,1.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,2,2.0,10.5,5.0,0.04,50.33,52.88,1.25,1.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,2,2.0,10.5,6.0,0.04,51.01,67.54,1.24,1.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142,0,0.0,0.0,0.0,0.6,42.35,9.6,1.25,1.39,0.0,0.0,15.0,11.0,1.0,1.0,0.0
143,0,0.0,0.0,0.0,0.59,40.01,11.06,1.25,1.38,0.0,0.0,15.0,11.0,1.0,1.0,0.0
144,0,0.0,0.0,0.0,0.86,1.37,5.88,1.28,1.4,0.0,0.0,21.0,0.0,1.0,0.0,0.0
145,0,0.0,0.0,0.0,0.79,1.82,60.48,1.27,1.4,0.0,0.0,21.0,0.0,1.0,1.0,0.0
146,0,0.0,0.0,0.0,0.74,5.87,14.76,1.26,1.39,0.0,0.0,21.0,0.0,1.0,1.0,0.0
147,0,0.0,0.0,0.0,0.0,0.06,111.48,1.34,1.53,0.0,0.0,14.0,5.0,1.0,0.0,0.0
148,1,1.0,2.3,1.0,0.0,0.09,48.43,1.31,1.5,0.0,0.0,20.0,6.0,1.0,0.0,0.0
149,2,2.0,2.3,0.0,0.0,0.06,44.06,1.3,1.49,0.0,0.0,13.0,0.0,0.0,0.0,0.0
150,1,1.0,2.3,1.0,0.0,0.09,46.56,1.3,1.49,0.0,0.0,20.0,10.0,1.0,1.0,0.0
151,1,1.0,3.8,0.0,0.0,0.09,37.2,1.31,1.49,0.0,0.0,13.0,8.0,1.0,0.0,2.0
152,1,1.0,2.3,2.0,0.0,0.0,92.16,1.29,1.48,0.0,0.0,17.0,8.0,1.0,0.0,0.0
153,1,1.0,2.3,2.0,0.0,0.06,91.24,1.28,1.47,0.0,0.0,18.0,8.0,1.0,0.0,0.0
154,1,1.0,3.8,0.0,0.0,0.06,22.9,1.3,1.48,0.0,0.0,14.0,11.0,1.0,1.0,0.0
155,1,1.0,3.8,0.0,0.0,0.06,15.18,1.29,1.48,0.0,0.0,14.0,10.0,1.0,1.0,0.0
156,1,1.0,3.8,0.0,0.0,0.06,22.03,1.29,1.48,0.0,0.0,15.0,13.0,1.0,1.0,2.0
157,1,1.0,3.8,0.0,0.0,0.09,43.04,1.29,1.47,0.0,0.0,15.0,13.0,1.0,0.0,2.0
158,1,1.0,3.8,0.0,0.0,0.0,29.55,1.27,1.45,0.0,0.0,15.0,0.0,1.0,0.0,2.0
159,0,0.0,0.0,10.0,49.31,62.96,149.33,1.18,1.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0
160,2,3.0,0.6,1.0,0.0,25.08,25.27,1.08,1.78,0.0,0.0,16.0,8.0,1.0,0.0,0.0
161,1,3.0,0.6,1.0,0.0,16.83,30.64,1.07,1.77,0.0,0.0,16.0,8.0,0.0,1.0,0.0
162,0,0.0,0.0,1.0,0.28,0.06,59.47,1.04,1.68,0.0,0.0,2.0,0.0,0.0,1.0,2.0
163,0,0.0,0.0,1.0,10.36,0.09,14.04,1.65,1.91,0.0,0.0,17.0,8.0,1.0,0.0,0.0
164,1,1.0,1.7,1.0,9.13,0.06,8.64,1.62,1.9,0.0,0.0,19.0,0.0,1.0,0.0,0.0
165,0,0.0,0.0,2.0,1.09,0.06,49.39,0.99,2.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,0,0.0,0.0,2.0,0.99,0.06,16.53,0.96,2.86,0.0,0.0,0.0,0.0,1.0,1.0,0.0
