,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,주건물 지붕특성,불난 후 상태
0,사계 2리동 회관,,,,,,,,,,
1769,1,0.0,0.0,1.0,0.05,0.06,25.83,38.7,0.5,1.0,0.0
1770,0,0.0,0.0,1.0,17.89,0.06,16.07,38.6,0.4,1.0,0.0
1771,0,0.0,0.0,1.0,0.05,0.0,61.29,38.7,0.5,0.0,0.0
1772,0,0.0,0.0,1.0,0.05,0.06,39.08,38.7,0.5,1.0,0.0
1773,1,1.0,1.7,1.0,0.05,0.06,38.19,38.7,0.5,1.0,0.0
1774,1,1.0,1.7,1.0,0.05,0.06,50.08,38.7,0.5,1.0,0.0
1775,1,1.0,1.7,1.0,0.05,3.0,47.43,38.7,0.4,0.0,0.0
1776,2,2.0,1.7,1.0,0.04,10.52,120.12,38.7,0.5,1.0,0.0
1777,1,1.0,1.7,1.0,0.04,6.95,43.75,38.7,0.5,0.0,0.0
1778,1,1.0,1.7,1.0,0.04,9.16,35.29,38.7,0.4,0.0,0.0
1779,1,1.0,1.7,1.0,0.04,13.04,30.53,38.7,0.4,0.0,0.0
1780,1,1.0,1.7,1.0,0.04,17.85,37.09,38.6,0.4,0.0,0.0
1781,1,1.0,1.7,2.0,3.05,4.25,8.61,38.6,0.4,1.0,0.0
1782,1,1.0,1.7,2.0,3.05,4.25,8.61,38.6,0.4,1.0,0.0
1783,1,1.0,1.7,2.0,0.04,20.42,28.45,38.6,0.4,0.0,0.0
1784,1,1.0,1.7,2.0,2.69,5.63,8.64,38.6,0.4,1.0,0.0
1785,1,1.0,1.7,4.0,2.73,4.92,5.53,38.6,0.4,1.0,0.0
1786,2,3.0,1.7,1.0,0.01,21.53,33.44,38.7,0.4,0.0,0.0
1787,2,3.0,1.7,4.0,0.04,25.08,24.62,38.6,0.4,0.0,0.0
1788,2,1.0,1.7,4.0,0.14,18.35,33.58,38.6,0.4,0.0,0.0
1789,2,3.0,1.7,1.0,0.0,26.37,58.62,38.7,0.5,0.0,0.0
1790,2,3.0,1.7,1.0,0.0,27.31,31.1,38.7,0.4,0.0,0.0
1791,2,3.0,1.7,1.0,0.0,35.16,27.24,38.7,0.5,0.0,0.0
1792,2,3.0,1.7,3.0,0.0,32.63,36.12,38.7,0.4,0.0,0.0
1793,2,3.0,1.7,4.0,0.0,32.37,36.94,38.6,0.4,1.0,0.0
1794,3,3.0,1.7,4.0,0.01,31.17,23.44,38.6,0.4,1.0,0.0
1795,2,1.0,1.7,4.0,0.14,18.35,33.58,38.6,0.4,1.0,0.0
1796,2,3.0,1.7,4.0,0.0,38.93,59.67,38.6,0.4,1.0,0.0
1797,2,3.0,1.7,3.0,0.0,40.31,17.5,38.6,0.4,1.0,0.0
1798,3,3.0,1.7,5.0,0.0,30.37,67.32,38.6,0.4,1.0,0.0
1799,1,1.0,9.0,3.0,0.0,0.06,12.53,38.7,0.5,1.0,0.0
1800,1,1.0,9.0,5.0,0.0,0.0,37.32,38.7,0.4,1.0,0.0
1801,3,3.0,4.3,2.0,0.0,0.0,31.1,38.7,0.5,1.0,0.0
1802,3,3.0,4.3,2.0,0.0,0.09,28.93,38.7,0.5,1.0,2.0
1803,2,2.0,2.0,5.0,0.0,0.09,5.4,38.6,0.4,1.0,0.0
1804,2,3.0,1.7,2.0,0.0,11.06,83.94,38.7,0.4,0.0,0.0
1805,2,3.0,1.7,3.0,0.0,8.4,44.64,38.6,0.4,1.0,0.0
1806,0,0.0,0.0,1.0,0.28,0.06,151.26,38.7,0.4,1.0,1.0
1807,0,0.0,0.0,2.0,32.14,20.63,15.52,38.7,0.5,1.0,2.0
1808,0,0.0,0.0,2.0,30.88,14.26,21.54,38.7,0.5,1.0,0.0
1809,0,0.0,0.0,2.0,29.92,3.62,50.34,38.7,0.5,0.0,2.0
1810,0,0.0,0.0,6.0,20.32,3.03,27.91,38.6,0.4,1.0,0.0
1811,1,1.0,53.5,2.0,30.92,44.72,157.32,38.7,0.5,0.0,0.0
1812,0,1.0,3.5,1.0,0.51,12.69,40.09,38.7,0.5,0.0,0.0
1813,0,0.0,0.0,1.0,0.0,0.0,53.22,39.2,1.3,1.0,0.0
1814,0,0.0,0.0,2.0,0.0,8.6,5.07,39.1,1.3,1.0,0.0
1815,0,0.0,0.0,0.0,0.0,0.06,13.31,39.2,1.3,1.0,2.0
1816,0,0.0,0.0,1.0,1.43,0.0,111.28,39.2,1.4,1.0,0.0
1817,0,0.0,0.0,2.0,1.19,0.06,48.24,39.2,1.3,1.0,0.0
1818,0,0.0,0.0,2.0,1.25,0.06,81.65,39.2,1.3,1.0,0.0
1819,2,2.0,4.1,9.0,4.35,137.22,417.38,39.8,1.9,1.0,0.0
1820,0,0.0,0.0,0.0,6.29,0.06,20.53,39.9,1.9,1.0,2.0
1821,0,0.0,0.0,2.0,7.34,0.06,5.44,39.9,1.9,1.0,0.0
1822,울진 금강송면 삼근 1리 마을회관,,,,,,,,,,
1823,1,1.0,8.2,1.0,94.82,0.0,192.84,16.7,14.2,1.0,0.0
1824,1,1.0,8.2,2.0,94.94,4.13,287.48,16.7,14.2,0.0,0.0
1825,1,1.0,8.2,2.0,95.06,6.62,36.75,16.7,14.2,1.0,0.0
1826,1,1.0,8.2,2.0,94.78,3.78,17.96,16.7,14.2,1.0,0.0
1827,1,1.0,8.2,2.0,94.66,0.38,22.12,16.7,14.2,1.0,0.0
1828,1,1.0,8.2,2.0,93.74,0.06,141.03,16.7,14.2,1.0,0.0
1829,1,1.0,8.2,2.0,94.52,0.09,58.82,16.7,14.2,1.0,0.0
1830,1,1.0,8.2,3.0,93.88,0.06,22.44,16.7,14.2,1.0,0.0
1831,1,1.0,8.2,3.0,93.65,0.09,29.1,16.7,14.2,0.0,0.0
1832,1,1.0,8.2,3.0,92.89,0.0,33.18,16.7,14.2,0.0,0.0
1833,1,1.0,2.1,4.0,92.96,0.06,19.76,16.7,14.2,1.0,0.0
1834,1,1.0,2.1,4.0,93.11,0.06,42.77,16.7,14.2,0.0,0.0
1835,0,0.0,0.0,3.0,90.97,0.0,85.19,16.7,14.2,0.0,0.0
1836,1,1.0,2.1,4.0,92.52,0.06,59.47,16.7,14.2,1.0,0.0
1837,1,1.0,2.1,4.0,92.3,0.09,32.82,16.7,14.2,1.0,0.0
1838,1,1.0,2.1,4.0,93.11,0.06,42.77,16.7,14.2,1.0,0.0
1839,1,1.0,2.1,5.0,93.0,0.06,29.38,16.7,14.2,1.0,0.0
1840,0,0.0,0.0,4.0,90.98,0.0,53.57,16.7,14.1,0.0,0.0
1841,1,1.0,2.1,5.0,91.15,0.06,41.96,16.7,14.1,1.0,0.0
1842,1,1.0,2.2,3.0,89.87,0.06,42.94,16.7,14.1,1.0,0.0
1843,2,3.0,2.1,5.0,93.43,11.25,37.44,16.7,14.2,1.0,0.0
1844,0,0.0,0.0,4.0,90.22,0.06,32.28,16.7,14.1,1.0,0.0
1845,1,1.0,2.2,3.0,89.28,0.06,56.22,16.7,14.1,1.0,0.0
1846,1,1.0,2.2,4.0,89.63,0.09,22.68,16.7,14.1,1.0,0.0
1847,1,1.0,2.2,3.0,89.28,0.06,56.22,16.7,14.1,0.0,0.0
1848,1,1.0,2.2,3.0,89.09,0.0,16.65,16.7,14.1,1.0,0.0
1849,1,1.0,2.2,3.0,89.29,0.09,4.65,16.7,14.1,1.0,0.0
1850,1,1.0,2.2,2.0,91.24,0.38,67.54,16.7,14.1,0.0,0.0
1851,2,3.0,2.9,7.0,98.64,173.68,38.23,16.7,14.2,1.0,0.0
1852,3,4.0,1.8,8.0,98.63,165.35,7.6,16.7,14.2,1.0,0.0
1853,4,5.0,1.8,10.0,98.59,142.07,10.44,16.7,14.2,1.0,0.0
1854,5,6.0,1.8,11.0,98.56,139.03,20.3,16.7,14.2,1.0,0.0
1855,5,9.0,1.8,11.0,98.62,135.27,16.56,16.7,14.2,1.0,0.0
1856,1,1.0,1.4,7.0,98.72,169.52,34.63,16.7,14.1,1.0,0.0
1857,2,2.0,1.4,7.0,98.71,164.27,30.53,16.7,14.1,1.0,0.0
1858,2,2.0,1.4,7.0,98.67,155.31,8.55,16.7,14.2,1.0,0.0
1859,6,8.0,1.8,11.0,98.66,132.16,45.16,16.7,14.2,0.0,0.0
1860,5,8.0,1.8,11.0,98.65,129.03,14.11,16.7,14.2,1.0,0.0
1861,4,8.0,1.8,11.0,98.66,126.8,147.83,16.7,14.2,1.0,0.0
1862,2,2.0,1.4,7.0,98.72,158.32,62.67,16.7,14.1,1.0,0.0
1863,2,2.0,1.4,7.0,98.66,148.7,8.16,16.7,14.1,1.0,0.0
1864,2,2.0,1.4,7.0,98.72,158.32,62.67,16.7,14.1,1.0,0.0
1865,2,2.0,1.4,7.0,98.72,158.32,62.67,16.7,14.1,1.0,0.0
1866,2,2.0,1.4,3.0,98.07,170.93,18.14,16.7,14.1,1.0,0.0
1867,3,4.0,1.8,12.0,98.65,123.74,23.44,16.7,14.2,1.0,0.0
1868,5,7.0,1.8,11.0,98.6,117.22,533.23,16.7,14.2,1.0,0.0
1869,2,2.0,1.4,3.0,98.07,170.93,18.14,16.7,14.1,1.0,0.0
1870,2,2.0,1.4,6.0,98.44,162.79,6.35,16.7,14.1,1.0,0.0
1871,2,2.0,1.4,4.0,98.07,162.94,39.6,16.7,14.1,1.0,0.0
1872,4,5.0,1.8,12.0,98.56,108.97,439.6,16.7,14.2,1.0,0.0
1873,2,2.0,1.4,4.0,98.07,162.94,39.6,16.7,14.1,1.0,0.0
1874,2,2.0,1.4,4.0,96.53,160.66,16.13,16.7,14.1,1.0,0.0
1875,2,2.0,1.4,6.0,97.11,152.82,25.27,16.7,14.1,1.0,0.0
1876,2,2.0,1.8,10.0,97.54,122.9,110.22,16.7,14.1,1.0,0.0
1877,0,0.0,0.0,0.0,26.64,0.06,40.78,16.6,14.2,1.0,0.0
1878,0,0.0,0.0,0.0,25.81,0.06,18.12,16.6,14.2,1.0,0.0
1879,0,0.0,0.0,0.0,27.67,0.0,27.82,16.6,14.2,1.0,0.0
1880,1,1.0,3.0,0.0,23.31,0.0,6.91,16.6,14.2,1.0,0.0
1881,1,1.0,3.0,0.0,28.5,0.0,38.71,16.6,14.2,1.0,0.0
1882,0,0.0,0.0,0.0,32.39,0.09,41.86,16.6,14.2,1.0,0.0
1883,1,0.0,0.0,0.0,30.73,0.06,14.77,16.6,14.2,1.0,0.0
1884,1,1.0,3.0,0.0,31.51,0.06,16.07,16.6,14.2,1.0,0.0
1885,0,0.0,0.0,5.0,40.54,6.05,70.21,16.7,14.2,1.0,0.0
