,진입 탈출로 개수,30m 이내 진입 탈출로 개수,최소 도로폭,교차로 개수,침엽수림 비율,산림기준 이격 거리,창문,산불 진화용수 거리,소방서와의 거리,주건물 지붕특성,불난 후 상태
0,사계 2리동 회관,,,,,,,,,,
51,1,2.0,3.1,6.0,30.34,9.09,27.91,24.4,6.3,1.0,0.0
52,2,3.0,2.1,1.0,57.28,1.94,17.5,24.7,6.0,1.0,0.0
53,3,3.0,2.1,1.0,57.79,3.72,53.52,24.7,6.0,0.0,0.0
54,3,3.0,2.1,1.0,56.27,2.56,15.62,24.7,5.9,1.0,0.0
55,3,3.0,2.1,1.0,55.98,3.95,19.87,24.7,5.9,1.0,0.0
56,2,3.0,2.1,1.0,67.1,21.77,25.83,24.7,5.9,1.0,0.0
57,2,3.0,2.1,1.0,66.28,19.81,8.76,24.8,5.9,1.0,0.0
58,2,3.0,2.1,1.0,71.06,24.06,7.26,24.8,5.9,1.0,0.0
59,1,1.0,2.1,1.0,53.59,3.24,40.39,24.8,5.9,0.0,0.0
60,1,1.0,2.1,1.0,48.7,0.0,6.97,24.8,5.9,1.0,0.0
61,2,2.0,2.1,1.0,47.23,0.06,17.11,24.8,5.9,1.0,0.0
62,2,2.0,2.1,1.0,50.78,0.0,30.07,24.8,5.9,1.0,0.0
63,0,0.0,0.0,0.0,62.68,0.06,6.65,24.8,5.9,1.0,0.0
64,0,0.0,0.0,0.0,66.58,0.0,7.49,24.8,5.9,1.0,2.0
65,1,1.0,2.3,1.0,18.91,62.47,9.82,24.7,6.0,1.0,0.0
66,1,1.0,2.3,1.0,16.76,65.62,48.43,24.7,6.0,1.0,0.0
67,0,0.0,0.0,3.0,22.97,47.35,88.13,24.8,5.9,1.0,0.0
68,0,0.0,0.0,2.0,58.53,8.11,9.22,24.8,5.9,1.0,0.0
69,0,0.0,0.0,2.0,58.85,3.8,66.59,24.8,5.9,1.0,0.0
70,주인 1리 마을회관,,,,,,,,,,
71,0,0.0,0.0,3.0,10.34,24.87,26.11,24.3,3.6,1.0,0.0
72,1,1.0,2.2,3.0,11.4,28.26,57.77,24.3,3.6,1.0,0.0
73,0,0.0,0.0,3.0,15.85,15.43,10.45,24.3,3.6,1.0,0.0
74,0,0.0,0.0,3.0,17.36,13.84,43.04,24.3,3.6,1.0,0.0
75,2,3.0,2.2,3.0,13.61,23.21,23.04,24.3,3.6,1.0,0.0
76,2,3.0,2.2,4.0,16.0,31.38,31.58,24.3,3.6,1.0,0.0
77,2,5.0,2.2,6.0,17.27,40.31,42.51,24.3,3.6,1.0,0.0
78,0,0.0,0.0,3.0,22.91,6.06,37.44,24.3,3.6,1.0,0.0
79,0,0.0,0.0,3.0,20.01,9.07,14.73,24.3,3.6,1.0,0.0
80,2,3.0,2.2,3.0,22.87,12.03,48.38,24.3,3.6,1.0,0.0
81,2,3.0,2.2,6.0,20.61,25.47,51.48,24.3,3.6,1.0,0.0
82,3,5.0,2.2,7.0,21.02,39.67,17.34,24.3,3.6,1.0,0.0
83,3,4.0,2.2,5.0,25.55,14.47,25.4,24.3,3.6,1.0,0.0
84,2,4.0,2.2,6.0,25.99,21.09,69.55,24.3,3.6,1.0,0.0
85,3,7.0,2.2,7.0,23.04,40.52,46.08,24.3,3.6,1.0,0.0
86,1,1.0,5.2,4.0,29.13,0.0,18.6,24.3,3.6,1.0,0.0
87,3,4.0,2.2,5.0,27.79,8.61,51.71,24.3,3.6,1.0,0.0
88,3,4.0,2.2,5.0,27.83,10.75,35.77,24.3,3.6,1.0,0.0
89,2,5.0,2.2,6.0,27.5,26.16,14.23,24.3,3.6,1.0,0.0
90,1,1.0,5.2,5.0,31.89,0.06,59.82,24.3,3.6,1.0,0.0
91,0,0.0,0.0,5.0,34.74,0.09,36.53,24.3,3.5,1.0,0.0
92,2,5.0,2.2,5.0,29.84,12.33,64.64,24.3,3.6,1.0,0.0
93,2,5.0,2.2,6.0,29.64,21.52,27.71,24.3,3.6,1.0,0.0
94,2,5.0,2.2,6.0,30.66,21.89,64.51,24.3,3.6,1.0,0.0
95,2,5.0,2.2,6.0,29.98,29.26,66.23,24.3,3.6,1.0,0.0
96,1,1.0,0.0,5.0,33.02,0.06,42.68,24.3,3.5,1.0,0.0
97,0,0.0,0.0,4.0,38.92,0.09,94.25,24.4,3.5,1.0,0.0
98,0,0.0,0.0,4.0,41.55,0.06,77.36,24.4,3.5,1.0,0.0
99,0,0.0,0.0,0.0,23.92,2.81,25.7,24.3,3.6,1.0,0.0
100,1,1.0,2.7,0.0,27.03,2.88,33.78,24.3,3.6,1.0,0.0
101,1,1.0,2.7,0.0,29.15,1.58,27.22,24.3,3.6,1.0,0.0
102,1,2.0,2.7,1.0,34.72,6.2,36.63,24.3,3.6,0.0,0.0
103,0,0.0,0.0,0.0,35.2,13.21,43.32,24.3,3.6,0.0,0.0
104,0,0.0,0.0,0.0,35.08,11.36,37.84,24.3,3.6,1.0,0.0
105,2,2.0,2.7,0.0,39.87,12.23,36.72,24.3,3.6,1.0,0.0
106,1,2.0,2.7,1.0,39.81,11.19,36.29,24.3,3.6,1.0,0.0
107,1,2.0,2.7,2.0,38.24,11.97,22.18,24.3,3.6,1.0,0.0
108,0,0.0,0.0,0.0,43.05,4.45,12.36,24.3,3.6,1.0,0.0
109,1,1.0,3.2,0.0,50.54,2.26,32.26,24.3,3.6,1.0,0.0
110,1,2.0,2.7,4.0,47.23,4.14,52.68,24.3,3.6,1.0,0.0
111,1,1.0,3.2,5.0,52.91,8.46,88.7,24.3,3.6,1.0,0.0
112,1,1.0,3.2,2.0,55.64,5.59,36.5,24.3,3.6,1.0,0.0
113,1,1.0,3.2,6.0,57.94,13.59,43.33,24.3,3.6,0.0,0.0
114,1,1.0,3.2,6.0,55.19,3.63,44.45,24.3,3.6,1.0,0.0
115,1,1.0,3.2,6.0,58.41,23.03,34.68,24.3,3.6,1.0,0.0
116,1,1.0,3.2,6.0,59.29,20.9,16.29,24.3,3.6,1.0,0.0
117,2,2.0,2.2,6.0,58.67,9.52,17.11,24.3,3.6,1.0,0.0
118,1,1.0,2.6,3.0,96.55,113.12,85.18,24.3,3.6,1.0,0.0
119,5,7.0,2.1,5.0,96.44,93.64,58.97,24.3,3.6,1.0,0.0
120,0,0.0,0.0,3.0,0.42,68.23,57.89,24.3,3.6,1.0,0.0
121,0,0.0,0.0,3.0,0.59,60.15,75.57,24.3,3.6,1.0,0.0
122,0,0.0,0.0,4.0,4.02,76.16,59.88,24.3,3.6,1.0,0.0
123,0,0.0,0.0,6.0,12.61,84.97,35.28,24.3,3.6,1.0,0.0
124,0,0.0,0.0,6.0,16.75,86.95,21.54,24.3,3.6,1.0,0.0
125,0,1.0,0.0,5.0,6.37,43.49,40.92,24.3,3.6,1.0,0.0
126,0,0.0,0.0,7.0,9.69,69.34,59.62,24.3,3.6,0.0,0.0
127,0,1.0,0.0,4.0,21.45,13.09,30.34,24.3,3.6,1.0,0.0
128,1,1.0,0.0,5.0,22.92,17.88,62.67,24.3,3.5,1.0,0.0
129,1,1.0,1.9,8.0,18.13,25.24,48.43,24.3,3.6,1.0,0.0
130,0,0.0,0.0,1.0,1.95,0.09,121.72,24.3,3.6,1.0,0.0
131,0,0.0,0.0,1.0,2.25,0.0,23.04,24.3,3.6,1.0,0.0
132,1,1.0,5.7,1.0,2.64,5.58,7.26,24.3,3.6,1.0,0.0
133,1,2.0,2.9,1.0,2.98,10.42,41.49,24.3,3.6,1.0,0.0
134,1,2.0,2.9,1.0,3.12,11.0,56.85,24.3,3.6,1.0,0.0
135,1,2.0,2.9,1.0,3.44,2.95,31.05,24.4,3.5,1.0,0.0
136,화성 2리 마을회관,,,,,,,,,,
137,2,4.0,2.3,5.0,34.79,2.0,54.29,26.8,3.9,1.0,0.0
138,3,3.0,2.3,5.0,36.12,0.06,19.01,26.8,3.8,1.0,0.0
139,2,2.0,2.9,3.0,43.08,0.06,12.44,26.8,3.8,1.0,0.0
140,2,2.0,2.9,5.0,44.74,0.09,72.36,26.8,3.8,1.0,0.0
141,0,0.0,0.0,2.0,50.81,0.06,37.79,26.9,3.8,1.0,0.0
142,0,0.0,0.0,1.0,16.07,0.09,55.22,26.8,3.9,1.0,0.0
143,0,0.0,0.0,3.0,12.56,3.76,43.34,26.8,3.9,1.0,0.0
144,0,0.0,0.0,3.0,11.34,11.29,28.51,26.8,3.9,1.0,0.0
145,0,0.0,0.0,0.0,16.26,0.09,41.86,26.8,3.8,1.0,0.0
146,0,0.0,0.0,1.0,16.75,0.09,22.77,26.8,3.8,1.0,0.0
147,2,2.0,2.1,4.0,11.56,9.0,26.57,26.8,3.8,1.0,0.0
148,1,1.0,2.1,4.0,14.65,11.4,72.58,26.8,3.8,1.0,0.0
149,1,1.0,2.5,0.0,3.23,27.65,34.52,26.9,3.8,1.0,0.0
150,홍성 남당리,,,,,,,,,,
151,1,1.0,5.1,0.0,15.64,96.48,27.36,11.3,9.6,0.0,0.0
152,0,0.0,0.0,1.0,30.28,84.87,245.79,11.3,9.6,1.0,0.0
153,0,0.0,0.0,2.0,36.69,95.42,50.69,11.3,9.6,1.0,0.0
154,0,0.0,0.0,3.0,41.88,93.13,57.63,11.3,9.6,1.0,0.0
155,1,1.0,4.0,0.0,0.0,53.89,35.48,11.3,9.5,1.0,0.0
156,1,1.0,4.0,1.0,1.96,62.0,31.19,11.3,9.5,1.0,0.0
157,1,1.0,4.0,4.0,16.0,67.73,31.25,11.3,9.6,1.0,0.0
158,1,1.0,4.0,6.0,35.16,56.3,106.37,11.3,9.5,1.0,0.0
159,1,1.0,2.1,3.0,73.44,66.58,95.56,11.3,9.5,0.0,0.0
160,1,1.0,2.1,3.0,74.03,56.77,47.58,11.3,9.5,0.0,0.0
161,1,1.0,2.1,3.0,77.08,50.04,23.01,11.3,9.5,1.0,0.0
162,3,4.0,2.1,3.0,87.86,39.36,23.62,11.3,9.5,1.0,0.0
163,3,3.0,2.1,3.0,91.18,37.41,73.53,11.3,9.5,1.0,0.0
164,3,4.0,2.1,5.0,84.11,22.38,21.67,11.3,9.5,1.0,0.0
165,2,2.0,2.3,6.0,93.33,0.98,131.79,11.3,9.5,1.0,0.0
166,1,3.0,2.2,4.0,0.41,27.41,26.71,11.3,9.6,1.0,0.0
167,1,4.0,2.2,4.0,0.41,33.6,52.88,11.3,9.6,1.0,0.0
168,2,4.0,2.2,4.0,0.44,32.15,40.78,11.4,9.6,1.0,0.0
169,3,3.0,2.2,4.0,0.44,24.44,186.44,11.4,9.6,1.0,0.0
170,2,4.0,2.4,4.0,2.82,59.39,120.64,11.4,9.6,1.0,0.0
171,2,5.0,2.4,4.0,4.82,83.2,146.88,11.4,9.6,1.0,0.0
172,2,5.0,2.4,5.0,5.11,84.92,137.13,11.4,9.6,1.0,0.0
173,2,2.0,2.4,4.0,4.15,50.4,278.09,11.4,9.6,0.0,0.0
174,1,1.0,4.5,1.0,74.74,21.78,47.81,11.4,9.5,0.0,0.0
175,1,1.0,2.6,2.0,0.12,60.87,36.66,10.5,9.4,0.0,0.0
176,2,2.0,2.6,2.0,0.1,42.59,55.76,10.5,9.4,1.0,0.0
177,2,2.0,2.6,2.0,0.06,53.92,167.67,10.5,9.4,0.0,0.0
178,1,1.0,2.6,2.0,0.23,30.36,72.81,10.5,9.3,1.0,0.0
179,2,2.0,2.6,2.0,0.14,22.59,88.44,10.5,9.3,1.0,0.0
180,3,3.0,2.5,3.0,0.05,30.71,65.52,10.6,9.4,1.0,0.0
181,1,1.0,2.5,3.0,0.05,37.37,334.28,10.6,9.4,1.0,0.0
182,2,2.0,2.6,2.0,0.14,9.16,9.0,10.6,9.3,1.0,0.0
183,3,4.0,2.5,3.0,0.07,16.23,40.22,10.6,9.4,1.0,0.0
184,3,4.0,2.5,3.0,0.06,19.73,92.16,10.6,9.4,1.0,0.0
185,0,0.0,0.0,5.0,0.05,43.03,18.43,10.6,9.4,1.0,0.0
186,3,4.0,2.5,5.0,0.07,17.19,71.4,10.6,9.3,1.0,0.0
187,3,4.0,2.2,8.0,26.97,31.25,334.89,10.6,9.5,1.0,0.0
188,3,4.0,2.2,8.0,24.21,31.25,38.81,10.6,9.4,1.0,0.0
189,1,1.0,2.5,7.0,34.5,31.25,348.16,10.6,9.4,1.0,0.0
190,0,0.0,0.0,2.0,82.0,31.25,299.64,10.6,9.3,1.0,0.0
191,0,0.0,0.0,1.0,95.26,31.25,33.78,10.6,9.3,1.0,0.0
192,0,0.0,0.0,1.0,95.52,31.25,401.24,10.6,9.3,1.0,0.0
193,1,1.0,3.8,2.0,0.0,31.25,97.44,10.7,9.3,1.0,0.0
194,0,0.0,0.0,1.0,0.0,0.06,9.07,11.8,8.1,1.0,0.0
195,0,0.0,0.0,1.0,0.0,16.0,12.44,11.8,8.1,1.0,2.0
196,0,0.0,0.0,1.0,0.0,14.43,9.5,11.8,8.1,1.0,2.0
197,0,0.0,0.0,1.0,0.0,26.14,11.59,11.9,8.1,1.0,0.0
198,2,2.0,0.8,1.0,0.0,0.06,21.34,10.7,9.0,1.0,2.0
199,0,0.0,0.0,1.0,10.99,31.25,52.14,12.4,7.9,1.0,0.0
200,0,0.0,0.0,2.0,9.98,31.25,24.36,12.4,7.9,0.0,0.0
201,0,0.0,0.0,2.0,9.98,31.25,24.36,12.4,7.9,1.0,0.0
202,0,0.0,0.0,1.0,19.11,31.25,17.74,12.4,7.9,1.0,0.0
203,0,0.0,0.0,0.0,24.88,31.25,66.53,12.4,7.9,1.0,0.0
204,0,0.0,0.0,0.0,48.36,31.25,13.31,12.4,8.0,1.0,0.0
205,0,0.0,0.0,2.0,9.26,31.25,37.07,12.4,7.9,1.0,0.0
206,0,0.0,0.0,2.0,15.04,31.25,14.69,12.4,7.9,1.0,0.0
207,0,0.0,0.0,1.0,19.11,31.25,17.74,12.4,7.9,1.0,0.0
208,0,0.0,0.0,1.0,42.07,31.25,100.4,12.4,7.9,1.0,0.0
209,0,0.0,0.0,0.0,43.67,31.25,21.05,12.4,7.9,1.0,0.0
210,0,0.0,0.0,3.0,9.25,31.25,30.7,12.4,7.9,0.0,0.0
211,0,0.0,0.0,3.0,9.25,31.25,70.5,12.4,7.9,1.0,0.0
212,0,0.0,0.0,3.0,9.25,31.25,89.28,12.4,7.9,1.0,0.0
213,0,0.0,0.0,3.0,15.19,31.25,30.11,12.4,7.9,1.0,0.0
214,0,0.0,0.0,4.0,28.01,31.25,34.24,12.4,7.9,1.0,0.0
215,0,0.0,0.0,4.0,31.82,31.25,19.2,12.4,7.9,1.0,0.0
216,0,0.0,0.0,2.0,38.8,31.25,47.95,12.4,7.9,1.0,0.0
217,1,1.0,0.8,3.0,11.75,31.25,56.16,12.4,7.9,1.0,0.0
218,0,0.0,0.0,4.0,83.32,31.25,57.25,12.5,7.9,1.0,0.0
219,1,1.0,0.8,3.0,16.72,31.25,21.34,12.4,7.9,1.0,0.0
220,2,4.0,0.8,3.0,16.06,31.25,178.85,12.4,7.9,1.0,0.0
221,2,5.0,0.8,3.0,14.31,31.25,32.8,12.4,7.9,1.0,0.0
222,3,5.0,0.8,3.0,19.24,31.25,42.77,12.4,7.9,0.0,0.0
223,2,2.0,2.7,2.0,3.65,59.75,56.76,12.3,7.9,1.0,0.0
224,1,1.0,2.7,2.0,3.28,68.14,41.21,12.3,7.9,0.0,0.0
225,2,2.0,2.7,2.0,3.37,61.18,22.03,12.3,7.9,1.0,0.0
226,2,3.0,2.2,2.0,3.19,75.45,53.91,12.3,7.9,1.0,0.0
227,1,1.0,3.0,3.0,39.65,31.25,35.14,11.3,9.6,1.0,0.0
228,2,1.0,3.0,4.0,34.21,31.25,31.82,11.3,9.6,1.0,0.0
229,2,2.0,3.0,4.0,28.48,31.25,16.13,11.3,9.6,1.0,0.0
230,1,2.0,3.0,4.0,30.85,31.25,45.36,11.3,9.6,1.0,0.0
231,2,2.0,2.4,3.0,75.31,31.25,23.59,11.3,9.6,1.0,0.0
232,2,2.0,2.4,3.0,87.75,31.25,54.99,11.3,9.6,1.0,0.0
233,2,2.0,2.4,3.0,79.37,31.25,11.28,11.3,9.5,1.0,0.0
234,2,2.0,2.4,3.0,84.94,31.25,74.64,11.3,9.5,1.0,0.0
235,2,2.0,2.4,3.0,68.94,31.25,112.35,11.3,9.5,1.0,0.0
236,2,2.0,2.4,3.0,54.11,31.25,42.6,11.3,9.6,1.0,0.0
237,1,1.0,2.4,3.0,88.18,31.25,52.66,11.3,9.5,1.0,0.0
238,2,2.0,2.4,3.0,62.96,31.25,11.29,11.3,9.6,1.0,0.0
239,2,2.0,2.4,4.0,52.02,31.25,34.06,11.3,9.6,1.0,0.0
240,1,1.0,2.4,4.0,67.67,31.25,19.83,11.3,9.5,1.0,0.0
241,1,1.0,2.4,4.0,64.81,31.25,12.25,11.3,9.5,1.0,0.0
242,1,1.0,2.4,4.0,68.17,31.25,70.33,11.3,9.5,0.0,0.0
243,3,3.0,2.2,5.0,32.2,31.25,31.84,11.4,9.6,1.0,0.0
244,2,2.0,2.2,6.0,36.92,31.25,25.46,11.4,9.6,1.0,0.0
245,1,1.0,2.4,3.0,57.14,31.25,45.35,11.3,9.5,1.0,0.0
246,1,1.0,2.4,3.0,73.74,31.25,18.75,11.3,9.5,1.0,0.0
247,2,2.0,2.4,3.0,60.45,31.25,33.7,11.3,9.5,1.0,0.0
248,2,2.0,2.4,3.0,70.74,31.25,27.52,11.4,9.5,1.0,0.0
249,0,0.0,0.0,2.0,88.26,31.25,45.14,11.3,10.0,1.0,0.0
250,0,0.0,0.0,2.0,88.26,31.25,34.44,11.3,10.0,1.0,0.0
251,0,0.0,0.0,2.0,88.26,31.25,32.2,11.2,10.0,1.0,0.0
252,0,0.0,0.0,2.0,88.26,31.25,55.22,11.3,10.0,1.0,0.0
253,1,1.0,4.4,2.0,78.04,31.25,43.75,11.3,9.9,1.0,0.0
254,2,2.0,4.4,3.0,78.04,31.25,47.0,11.3,9.9,1.0,0.0
255,1,1.0,4.4,3.0,78.04,31.25,7.11,11.3,9.9,1.0,0.0
256,1,1.0,4.4,3.0,78.04,31.25,57.02,11.3,9.9,0.0,0.0
257,2,2.0,4.4,1.0,78.04,31.25,52.42,11.4,9.9,0.0,0.0
258,2,2.0,4.4,2.0,78.04,31.25,34.1,11.3,9.9,1.0,0.0
259,1,0.0,0.0,3.0,78.04,31.25,9.19,11.3,9.9,0.0,0.0
260,3,4.0,1.6,6.0,98.86,31.25,47.61,11.4,9.7,1.0,0.0
261,0,0.0,0.0,1.0,0.08,209.24,11.28,11.3,8.9,1.0,0.0
262,1,1.0,2.6,1.0,8.11,22.82,53.58,10.5,8.5,1.0,0.0
263,0,0.0,0.0,0.0,8.06,13.87,12.44,10.6,8.5,1.0,0.0
264,0,0.0,0.0,1.0,3.21,0.06,20.56,10.6,8.5,1.0,2.0
265,0,0.0,0.0,1.0,3.06,0.0,63.94,10.6,8.5,1.0,0.0
266,0,0.0,0.0,1.0,5.5,0.09,21.67,10.6,8.4,0.0,0.0
267,1,3.0,2.7,5.0,0.73,1.56,132.51,10.9,9.2,1.0,0.0
268,1,2.0,1.8,2.0,2.76,25.94,283.45,11.0,9.2,1.0,0.0
269,2,2.0,2.8,6.0,7.7,16.93,157.65,11.6,8.5,1.0,0.0
270,2,2.0,2.8,6.0,10.63,18.2,20.74,11.6,8.5,1.0,0.0
271,3,3.0,2.8,13.0,33.63,32.99,115.26,11.6,8.6,1.0,0.0
272,3,3.0,2.1,4.0,4.49,10.62,186.62,11.6,8.5,1.0,2.0
273,2,5.0,1.7,19.0,5.26,135.45,49.1,11.4,9.8,1.0,0.0
274,6,7.0,1.4,15.0,88.01,96.4,272.49,11.4,9.8,1.0,0.0
275,4,4.0,1.4,15.0,18.81,75.78,174.1,11.5,9.7,1.0,0.0
276,3,3.0,2.7,12.0,8.38,57.65,216.12,11.5,9.7,0.0,0.0
277,1,1.0,2.7,2.0,6.17,4.06,101.97,11.6,8.8,1.0,0.0
278,2,3.0,1.6,4.0,0.68,78.49,321.84,11.6,8.7,1.0,0.0
279,3,5.0,1.5,5.0,3.03,7.93,120.53,10.9,8.7,1.0,0.0
280,2,3.0,1.5,5.0,3.69,18.69,137.64,10.9,8.7,1.0,0.0
281,3,5.0,2.6,4.0,3.03,10.37,102.79,11.6,9.4,1.0,0.0
282,2,3.0,1.6,2.0,14.88,27.71,391.98,10.6,9.1,0.0,0.0
283,2,3.0,1.6,2.0,11.17,8.22,260.93,10.6,9.1,1.0,0.0
284,강릉시 안현동,,,,,,,,,,
285,1,1.0,2.5,1.0,0.0,0.06,31.68,0.5,3.0,1.0,0.0
286,0,0.0,0.0,2.0,0.0,0.0,29.03,0.5,3.1,1.0,0.0
287,0,0.0,0.0,2.0,0.0,0.06,36.69,0.5,3.1,1.0,0.0
288,0,0.0,0.0,5.0,0.0,0.09,46.56,0.5,3.0,1.0,0.0
289,0,0.0,0.0,4.0,0.0,0.09,60.78,0.5,3.0,1.0,0.0
290,1,1.0,2.5,5.0,0.0,0.71,53.35,0.5,3.0,1.0,0.0
291,1,1.0,2.5,5.0,0.0,0.09,62.71,0.5,3.0,1.0,0.0
292,1,1.0,2.5,5.0,0.0,8.7,70.43,0.6,3.0,1.0,0.0
293,1,1.0,2.5,6.0,0.0,17.77,35.77,0.6,3.0,1.0,0.0
294,3,3.0,2.5,2.0,0.0,35.62,125.29,0.6,3.0,1.0,0.0
295,1,1.0,2.5,6.0,0.0,27.88,90.99,0.6,3.0,0.0,0.0
296,1,1.0,2.5,6.0,0.0,26.08,12.9,0.6,3.0,1.0,0.0
297,3,3.0,2.5,6.0,0.0,31.15,123.38,0.6,3.0,1.0,0.0
298,0,0.0,0.0,0.0,0.0,0.09,25.39,0.9,2.7,1.0,0.0
299,0,0.0,0.0,0.0,0.0,0.06,43.32,0.9,2.7,1.0,0.0
300,0,0.0,0.0,0.0,0.88,0.06,25.72,0.9,2.7,1.0,0.0
301,0,0.0,0.0,0.0,0.0,0.06,33.87,1.0,2.7,1.0,0.0
302,0,0.0,0.0,0.0,1.51,0.06,59.82,0.9,2.7,1.0,0.0
303,0,0.0,0.0,0.0,1.62,0.06,42.34,0.9,2.7,1.0,0.0
304,0,0.0,0.0,0.0,0.0,0.0,38.3,1.0,2.7,1.0,0.0
305,0,0.0,0.0,0.0,22.53,3.44,215.28,0.6,3.0,1.0,0.0
306,0,0.0,0.0,0.0,22.69,0.06,88.56,0.6,3.0,1.0,0.0
307,0,0.0,0.0,0.0,3.97,0.09,91.8,0.6,2.9,1.0,0.0
308,0,0.0,0.0,0.0,0.51,1.35,96.47,0.7,2.9,0.0,0.0
309,0,0.0,0.0,0.0,9.86,0.09,121.18,0.7,2.9,0.0,0.0
310,0,0.0,0.0,1.0,0.45,6.84,108.04,0.7,2.9,1.0,0.0
311,0,0.0,0.0,2.0,13.98,20.62,29.15,0.7,2.9,1.0,0.0
312,0,0.0,0.0,4.0,12.72,36.9,58.97,0.7,2.9,1.0,0.0
313,0,0.0,0.0,2.0,0.0,0.06,27.16,1.2,2.5,1.0,0.0
314,0,0.0,0.0,3.0,0.0,0.06,52.42,1.2,2.5,1.0,0.0
315,0,0.0,0.0,3.0,0.0,0.0,12.44,1.2,2.5,1.0,0.0
316,0,0.0,0.0,0.0,0.94,0.09,61.56,1.3,2.5,1.0,0.0
317,0,0.0,0.0,0.0,0.92,0.0,66.87,1.3,2.5,1.0,0.0
318,0,0.0,0.0,2.0,0.8,0.06,112.69,1.3,2.5,1.0,0.0
319,0,0.0,0.0,3.0,13.11,92.89,57.14,1.0,2.7,0.0,0.0
320,1,1.0,2.5,3.0,21.02,75.42,108.69,1.0,2.7,1.0,0.0
321,1,1.0,2.5,4.0,16.77,14.69,23.8,1.0,2.7,1.0,0.0
322,0,0.0,0.0,3.0,6.51,100.57,45.96,1.0,2.7,1.0,0.0
323,1,3.0,2.1,4.0,11.81,76.3,9.72,1.0,2.6,1.0,0.0
324,4,5.0,2.1,4.0,12.49,29.75,22.58,1.0,2.6,1.0,0.0
325,2,2.0,2.9,4.0,0.0,46.19,12.05,1.8,2.2,1.0,0.0
326,2,2.0,2.9,4.0,1.38,37.76,12.1,1.8,2.1,1.0,0.0
327,1,1.0,2.9,4.0,4.16,33.12,28.51,1.8,2.1,1.0,0.0
328,0,2.0,2.0,3.0,19.59,0.69,56.92,1.8,2.1,0.0,0.0
329,1,1.0,2.2,2.0,7.0,0.06,41.47,1.7,2.1,1.0,0.0
330,1,1.0,2.2,2.0,7.03,0.06,82.05,1.7,2.1,1.0,0.0
331,0,0.0,0.0,0.0,0.0,0.06,50.8,1.8,2.1,1.0,0.0
332,1,1.0,2.9,0.0,0.0,0.06,27.71,1.8,2.0,1.0,0.0
333,1,1.0,14.0,2.0,0.0,219.42,102.79,1.9,2.0,1.0,0.0
334,0,0.0,0.0,2.0,0.0,208.18,34.73,1.9,2.0,1.0,0.0
335,1,1.0,14.0,2.0,0.0,212.57,26.01,1.9,2.0,1.0,0.0
336,1,1.0,14.0,2.0,0.0,201.94,31.1,1.9,2.0,0.0,0.0
337,1,1.0,6.7,7.0,0.0,158.38,44.35,1.8,1.9,1.0,0.0
338,4,5.0,3.1,3.0,0.0,186.34,40.78,1.8,1.9,1.0,0.0
339,3,5.0,3.1,6.0,0.0,167.85,49.77,1.8,1.9,1.0,0.0
340,1,1.0,6.7,10.0,0.0,145.33,147.0,1.8,1.9,1.0,0.0
341,4,5.0,3.1,4.0,0.0,178.06,21.31,1.8,1.9,1.0,0.0
342,3,4.0,3.1,9.0,0.0,154.01,24.15,1.8,1.9,1.0,0.0
343,4,5.0,3.1,8.0,0.0,156.58,58.62,1.8,1.9,1.0,0.0
344,1,1.0,9.9,11.0,0.0,129.23,77.11,1.8,1.9,1.0,0.0
345,3,5.0,3.1,5.0,0.0,169.05,15.18,1.8,1.9,1.0,0.0
346,4,5.0,3.1,8.0,0.0,156.58,58.62,1.8,1.9,0.0,0.0
347,4,5.0,3.1,8.0,0.0,148.33,39.51,1.8,1.9,1.0,0.0
348,3,3.0,6.7,11.0,0.0,135.25,73.58,1.8,1.9,1.0,0.0
349,4,4.0,3.1,8.0,0.0,150.18,50.69,1.8,1.9,1.0,0.0
350,3,2.0,3.1,8.0,0.0,151.23,48.44,1.8,1.9,1.0,0.0
351,1,1.0,9.9,11.0,0.0,130.57,59.73,1.8,1.9,1.0,0.0
352,1,1.0,9.9,10.0,0.0,136.99,22.44,1.8,1.9,1.0,0.0
353,0,0.0,0.0,1.0,0.0,115.81,73.58,1.7,2.0,0.0,0.0
354,0,0.0,0.0,1.0,0.0,111.73,13.78,1.7,2.0,1.0,0.0
355,1,1.0,4.1,2.0,0.1,104.24,12.44,1.7,2.0,1.0,0.0
356,1,2.0,1.7,2.0,8.82,67.19,73.44,1.7,1.9,1.0,0.0
357,0,0.0,0.0,5.0,4.88,61.66,56.39,1.6,1.9,0.0,0.0
358,0,0.0,0.0,4.0,4.67,46.61,95.56,1.6,1.9,1.0,0.0
359,2,2.0,1.7,0.0,10.99,28.2,321.75,1.7,1.9,0.0,0.0
360,2,2.0,1.7,2.0,6.69,14.29,59.67,1.7,1.9,0.0,0.0
361,2,4.0,1.6,4.0,3.36,43.37,51.78,1.6,1.9,1.0,0.0
362,0,0.0,0.0,0.0,0.86,0.06,37.38,1.5,2.1,1.0,0.0
363,0,0.0,0.0,1.0,2.46,0.0,7.26,1.5,2.1,1.0,0.0
364,0,0.0,0.0,0.0,0.66,0.06,57.89,1.5,2.2,1.0,0.0
365,0,0.0,0.0,0.0,0.57,0.06,47.17,1.5,2.2,1.0,0.0
366,0,0.0,0.0,0.0,0.5,0.09,33.57,1.5,2.2,1.0,0.0
367,0,0.0,0.0,0.0,0.53,0.09,43.56,1.5,2.2,1.0,0.0
